time,chassis_joint.phi,chassis_joint.w,left_joint.phi,left_joint.w,Right_joint1.phi
3.1,-0.784044992535206,-6.173825636989018,0.0,0.0,0.0
3.11,-0.8467208763976289,-6.358868001603281,0.0,0.0,0.0
3.12,-0.9111840113730765,-6.531026156988505,0.0,0.0,0.0
3.13,-0.9773051785547633,-6.689353758270097,0.0,0.0,0.0
3.14,-1.0449358102790365,-6.832712200016123,0.0,0.0,0.0
3.15,-1.1139174184334473,-6.960056654977298,0.0,0.0,0.0
3.16,-1.184096936375331,-7.070620245878214,0.0,0.0,0.0
3.17,-1.2552959017495247,-7.163517271762055,0.0,0.0,0.0
3.18,-1.3273288625037754,-7.238005109839312,0.0,0.0,0.0
3.19,-1.4000127627722396,-7.293511226556986,0.0,0.0,0.0
3.2,-1.4731614190939655,-7.329621405306208,0.0,0.0,0.0
3.21,-1.5465704113759156,-7.346035440654686,0.0,0.0,0.0
3.22,-1.620038144017032,-7.342632025913307,0.0,0.0,0.0
3.23,-1.6933796761538045,-7.319347776298028,0.0,0.0,0.0
3.24,-1.7663885077292172,-7.276450118131753,0.0,0.0,0.0
3.25,-1.8388660604586646,-7.214365814304101,0.0,0.0,0.0
3.2600000000000002,-1.9106276154107809,-7.133409314414377,0.0,0.0,0.0
3.27,-1.9814874570329153,-7.034250379743241,0.0,0.0,0.0
3.2800000000000002,-2.0512657663058866,-6.917766700347866,0.0,0.0,0.0
3.29,-2.119792142509015,-6.78479391640721,0.0,0.0,0.0
3.3000000000000003,-2.1869053794656037,-6.636084481715895,0.0,0.0,0.0
3.31,-2.252456768198678,-6.472823144147581,0.0,0.0,0.0
3.3200000000000003,-2.316309209919458,-6.296151960271402,0.0,0.0,0.0
3.33,-2.3783217071341944,-6.106918332102605,0.0,0.0,0.0
3.34,-2.4383832395222442,-5.906346753199544,0.0,0.0,0.0
3.35,-2.4963913363755155,-5.69555124432003,0.0,0.0,0.0
3.36,-2.5522416813215387,-5.475572373901899,0.0,0.0,0.0
3.37,-2.6058454174765866,-5.247418648405957,0.0,0.0,0.0
3.38,-2.6571342692068614,-5.01206466279695,0.0,0.0,0.0
3.39,-2.706042862224245,-4.770428427273444,0.0,0.0,0.0
3.4,-2.7525011455626234,-4.523448418275562,0.0,0.0,0.0
3.41,-2.7964680172571637,-4.271842929161936,0.0,0.0,0.0
3.42,-2.8379051806767803,-4.016269360266371,0.0,0.0,0.0
3.43,-2.876767764939305,-3.757546213366448,0.0,0.0,0.0
3.44,-2.913030382334327,-3.49617341082788,0.0,0.0,0.0
3.45,-2.946670861924654,-3.2326034542639577,0.0,0.0,0.0
3.46,-2.9776690898792393,-2.967319626932242,0.0,0.0,0.0
3.47,-3.006008132702894,-2.7007694787804417,0.0,0.0,0.0
3.48,-3.031677376027985,-2.4331956991683836,0.0,0.0,0.0
3.49,-3.0546678859536196,-2.1648382665364743,0.0,0.0,0.0
3.5,-3.0749739288924927,-1.8960090160036085,0.0,0.0,0.0
3.5100000000000002,-3.0925901487071736,-1.6268171231149984,0.0,0.0,0.0
3.52,-3.1075124799629794,-1.3573700653257,0.0,0.0,0.0
3.5300000000000002,-3.1197411651157494,-1.0877976480211011,0.0,0.0,0.0
3.54,-3.1292746118118333,-0.8181585393285218,0.0,0.0,0.0
3.5500000000000003,-3.1361106510254464,-0.5484758022272759,0.0,0.0,0.0
3.56,-3.1402493227976387,-0.2787719649687479,0.0,0.0,0.0
3.5700000000000003,-3.1416930444334534,-0.009071718759062927,0.0,0.0,0.0
3.58,-3.1404392643116723,0.26063421004352505,0.0,0.0,0.0
3.59,-3.13648640609868,0.5303473840283648,0.0,0.0,0.0
3.6,-3.1298393866537,0.8000492908341228,0.0,0.0,0.0
3.61,-3.1204953564356512,1.0697266411566975,0.0,0.0,0.0
3.62,-3.108453138838176,1.3393443859206167,0.0,0.0,0.0
3.63,-3.093715957278129,1.6088413898223288,0.0,0.0,0.0
3.64,-3.0762862732885967,1.8781281874435778,0.0,0.0,0.0
3.65,-3.0561642156076343,2.147082212458068,0.0,0.0,0.0
3.66,-3.033353445962405,2.4155396579960438,0.0,0.0,0.0
3.67,-3.007864076613993,2.6832915046967627,0.0,0.0,0.0
3.68,-2.9797012691757594,2.9500749233999692,0.0,0.0,0.0
3.69,-2.948874350396785,3.215569562336566,0.0,0.0,0.0
3.7,-2.9154027692651368,3.479406808416909,0.0,0.0,0.0
3.71,-2.8793030898202514,3.741138167939771,0.0,0.0,0.0
3.72,-2.84059724900284,4.0002451403637105,0.0,0.0,0.0
3.73,-2.799315284377977,4.256155059328339,0.0,0.0,0.0
3.74,-2.7554941862336766,4.508226416944019,0.0,0.0,0.0
3.75,-2.7091738369632528,4.755712684162056,0.0,0.0,0.0
3.7600000000000002,-2.6604031267836734,4.997806368964366,0.0,0.0,0.0
3.77,-2.6092425147979186,5.233708172574595,0.0,0.0,0.0
3.7800000000000002,-2.555757371049065,5.462446636676357,0.0,0.0,0.0
3.79,-2.500023903596652,5.683004406193634,0.0,0.0,0.0
3.8000000000000003,-2.4421281795466308,5.8944369768627185,0.0,0.0,0.0
3.81,-2.382167286541977,6.0956661848867775,0.0,0.0,0.0
3.8200000000000003,-2.320249842458959,6.285547422293377,0.0,0.0,0.0
3.83,-2.256493752892126,6.463000598181143,0.0,0.0,0.0
3.84,-2.1910253941077635,6.627042507680828,0.0,0.0,0.0
3.85,-2.1239885750724854,6.776522795015603,0.0,0.0,0.0
3.86,-2.0555370666472226,6.910376656279267,0.0,0.0,0.0
3.87,-1.9858201458149671,7.027825122043395,0.0,0.0,0.0
